trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.2, 'e': 0.457510005540005}",20,0,-5.179205697879185,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
157,False,"{'a': 0.2, 'e': 0.45522245551230495}",25,5,0.7448359992140188,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.4529463432347434}",25,11,-19.847920994861838,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.4506816115185697}",20,10,-39.917656525630974,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.4484282034609769}",20,10,-53.598501587439635,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
161,False,"{'a': 0.2, 'e': 0.446186062443672}",20,0,-67.75954489354115,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
162,False,"{'a': 0.2, 'e': 0.4439551321314536}",30,5,-35.10980034756526,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.4417353564707963}",30,0,-152.36188185441577,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
164,False,"{'a': 0.2, 'e': 0.43952667968844233}",25,0,-63.94821111888912,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
165,False,"{'a': 0.2, 'e': 0.43732904629000013}",20,0,23.731119363868583,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.2, 'e': 0.4351424010585501}",20,0,0.17899197393574973,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.43296668905325736}",25,0,-62.71155442247701,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
168,False,"{'a': 0.2, 'e': 0.43080185560799106}",20,0,9.268826505234854,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
169,False,"{'a': 0.2, 'e': 0.4286478463299511}",25,1,-0.9663453134987625,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.2, 'e': 0.42650460709830135}",20,2,-14.490507026172546,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.42437208406280985}",25,0,-68.66406418175048,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
172,False,"{'a': 0.2, 'e': 0.4222502236424958}",25,0,-110.83819705150428,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
173,False,"{'a': 0.2, 'e': 0.42013897252428334}",30,13,-48.67552225862514,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
174,False,"{'a': 0.2, 'e': 0.4180382776616619}",20,1,-14.192278062849704,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.4159480862733536}",25,3,-19.253747602743694,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.2, 'e': 0.41386834584198684}",20,8,-12.221513086385599,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.4117990041127769}",20,14,-42.49695115442347,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.2, 'e': 0.40974000909221303}",20,2,-15.29892889353381,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.40769130904675194}",30,0,-46.16268462278372,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
180,False,"{'a': 0.2, 'e': 0.40565285250151817}",30,0,-30.589582628028182,"{0: 24, 1: 3, 2: 1, 3: 2, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.4036245882390106}",25,0,0.2836825982301081,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.2, 'e': 0.4016064652978155}",20,0,-95.48583056451713,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
183,False,"{'a': 0.2, 'e': 0.3995984329713264}",20,0,-82.40889880567646,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
184,False,"{'a': 0.2, 'e': 0.3976004408064698}",30,12,6.730003613091752,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.2, 'e': 0.39561243860243744}",20,10,11.94314378587858,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.2, 'e': 0.3936343764094253}",25,12,2.1593555076793858,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.2, 'e': 0.39166620452737816}",20,0,-6.313795364757185,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
188,False,"{'a': 0.2, 'e': 0.3897078735047413}",35,1,-10.114415561299763,"{0: 29, 1: 2, 2: 2, 3: 1, 4: 0}",1
189,False,"{'a': 0.2, 'e': 0.3877593341372176}",30,0,-67.58103992043283,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
190,False,"{'a': 0.2, 'e': 0.3858205374665315}",20,11,16.67781285088887,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.2, 'e': 0.38389143477919885}",20,0,-10.47190207702215,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
192,False,"{'a': 0.2, 'e': 0.3819719776053028}",20,9,20.010391693291155,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.2, 'e': 0.3800621177172763}",25,10,-11.091699166627997,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
194,False,"{'a': 0.2, 'e': 0.37816180712868996}",20,0,-34.6118038934124,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",1
195,False,"{'a': 0.2, 'e': 0.37627099809304654}",30,21,-2.555362306796582,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.2, 'e': 0.3743896431025813}",25,0,-58.919274008792634,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
197,False,"{'a': 0.2, 'e': 0.37251769488706843}",25,0,-2.6824758815896903,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
